Model,SSE,MSE,FirstQuartile,Median,ThirdQuartile,Maximum
Mean model,89.2387543252595,0.072,0.0,0.0,0.002,9.0
Modified mean model,84.34212802768167,0.069,0.0,0.0,0.0,9.0
Zero model,86.0,0.07,0.0,0.0,0.0,9.0
Linear regression,181.06846377752993,0.147,0.0,0.001,0.015,30.227
"Increment model: g, g, g",90.40642090408066,0.073,0.0,0.0,0.0,9.715
"Increment model: g, g, i",98.83329769472331,0.08,0.0,0.0,0.001,17.743
"Increment model: g, i, g",78.97632425897498,0.064,0.0,0.0,0.0,6.329
"Increment model: g, i, i",75.71218372293583,0.062,0.0,0.0,0.002,6.143
"Increment model: i, g, g",88.15426668599838,0.072,0.0,0.0,0.0,8.287
"Increment model: i, g, i",94.56550601411794,0.077,0.0,0.0,0.001,15.142
"Increment model: i, i, g",77.65194213798972,0.063,0.0,0.0,0.0,6.24
"Increment model: i, i, i",74.74565139234647,0.061,0.0,0.0,0.001,6.079
